Sys_time [ms];accX [G];accY [G];accZ [G];gyroX [deg/s];gyroY [deg/s];gyroZ [deg/s];magX;magY;magZ;accHX [G];accHY [G];accHZ [G];Pressure [Pa];Temp [C];Latitude [deg];Longitude [deg];Alt_gnss [m];Fix;Alt_press [m];Alt_Kalman [m];Vel [m/s];q0;q1;q2;q3;Flightstate;Ign_det1;Ign_det2;Ign_det3;Ign_det4;Ign_state1;Ign_state2;Ign_state3;Ign_state4;Vbat [mV];Servo1 [%];Servo2 [%];Servo3 [%];Servo4 [%];Servo_en;CRC16
613.2008;0.975;0.011;0.052;-0.1;0.1;0;0;0;0;0.7;-0.7;-4;98324;34;0;0;0;0;-0.2;0;0;0.9499682;-0.01390971;-0.0216896;-0.3112823;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;16726
613.2108;0.988;0.016;0.053;0;-0.1;0;0;0;0;0.8;-0.6;-3.5;98305;34;0;0;0;0;-0.2;0;0;0.9499665;-0.01395621;-0.02172039;-0.3112832;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;14886
613.2208;0.988;0.01;0.061;0;0.1;0;0;0;0;0.8;-0.6;-4;98311;34;0;0;0;0;-0.1;0;0;0.9499622;-0.0139619;-0.02186703;-0.3112859;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;24209
613.2308;0.983;0.016;0.053;0;-0.1;0;0;0;0;0.8;-0.6;-3.7;98311;34;0;0;0;0;-0.1;0;0;0.9499605;-0.01400905;-0.02189621;-0.3112867;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;63782
613.2408;0.984;0.01;0.049;0;0.1;0.2;0;0;0;0.7;-0.6;-3.8;98317;34;0;0;0;0;-0.1;0;0;0.9499601;-0.01396868;-0.02190025;-0.3112896;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;3330
613.2508;0.987;0.014;0.049;0.1;-0.1;0;0;0;0;1;-0.4;-3.6;98318;34;0;0;0;0;-0.1;0;0;0.9499598;-0.01397531;-0.02188717;-0.3112912;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;4332
613.2608;0.987;0.009;0.055;-0.1;0.1;-0.1;0;0;0;0.9;-0.5;-3.9;98332;34;0;0;0;0;-0.1;0;0;0.9499573;-0.01394615;-0.02196394;-0.3112943;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;9168
613.2708;0.984;0.013;0.054;0;0.1;0;0;0;0;0.9;-0.9;-3.9;98326;34;0;0;0;0;-0.2;0;0;0.9499555;-0.01396187;-0.02201345;-0.3112961;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;39205
613.2808;0.984;0.011;0.048;0;0.1;0;0;0;0;0.7;-0.5;-3.9;98326;34;0;0;0;0;-0.2;0;0;0.9499554;-0.01393059;-0.02199895;-0.3112987;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;37085
613.2908;0.986;0.012;0.057;0;0.1;0;0;0;0;0.6;-0.7;-3.7;98336;34;0;0;0;0;-0.2;0;0;0.9499524;-0.01394576;-0.02208542;-0.3113007;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;53393
613.3008;0.994;0.016;0.054;0;0.1;0.1;0;0;0;0.8;-0.7;-4;98313;34;0;0;0;0;-0.2;0;0;0.9499509;-0.01399285;-0.02211458;-0.3113016;1;0;0;0;0;0;0;0;0;4108;0;0;0;0;0;57367
